iter	Passed	Remaining
0	149	29665
1	159	15836
2	170	11223
3	177	8686
4	181	7075
5	186	6015
6	190	5248
7	194	4678
8	199	4223
9	203	3860
10	206	3547
11	209	3288
12	213	3069
13	216	2880
14	220	2714
15	223	2574
16	227	2449
17	231	2339
18	235	2242
19	239	2152
20	243	2075
21	246	1997
22	250	1927
23	253	1861
24	257	1799
25	260	1741
26	263	1688
27	266	1638
28	270	1593
29	273	1550
30	276	1510
31	280	1471
32	283	1434
33	287	1401
34	291	1372
35	294	1342
36	298	1314
37	302	1287
38	305	1260
39	308	1233
40	311	1208
41	315	1185
42	318	1163
43	321	1140
44	325	1119
45	328	1099
46	332	1081
47	335	1061
48	338	1042
49	341	1024
50	345	1008
51	348	993
52	352	977
53	355	962
54	359	947
55	363	935
56	367	921
57	371	908
58	375	896
59	378	882
60	381	869
61	385	857
62	388	845
63	392	833
64	395	821
65	398	809
66	402	798
67	405	786
68	409	777
69	412	766
70	415	755
71	419	745
72	424	738
73	429	731
74	433	722
75	438	715
76	441	704
77	444	694
78	447	685
79	451	677
80	455	668
81	458	659
82	461	650
83	465	642
84	468	633
85	472	625
86	476	618
87	480	611
88	483	603
89	487	595
90	490	587
91	494	580
92	498	573
93	503	568
94	507	561
95	510	553
96	513	545
97	517	538
98	520	530
99	523	523
100	526	515
101	529	508
102	532	501
103	535	494
104	538	487
105	542	481
106	545	474
107	548	467
108	552	461
109	557	456
110	561	449
111	565	444
112	569	438
113	573	432
114	576	426
115	580	420
116	584	414
117	587	408
118	590	402
119	594	396
120	597	390
121	600	384
122	604	378
123	607	372
124	610	366
125	614	360
126	617	354
127	620	349
128	624	343
129	627	338
130	631	332
131	634	326
132	637	321
133	641	315
134	644	310
135	648	305
136	651	299
137	654	293
138	657	288
139	660	283
140	664	278
141	667	272
142	671	267
143	674	262
144	677	256
145	681	251
146	684	246
147	688	241
148	691	236
149	695	231
150	698	226
151	701	221
152	705	216
153	708	211
154	712	206
155	715	201
156	719	196
157	722	192
158	725	187
159	728	182
160	731	177
161	734	172
162	737	167
163	741	162
164	744	157
165	747	153
166	751	148
167	754	143
168	758	139
169	761	134
170	765	129
171	768	125
172	772	120
173	775	115
174	779	111
175	782	106
176	786	102
177	789	97
178	792	93
179	796	88
180	801	84
181	806	79
182	809	75
183	813	70
184	816	66
185	820	61
186	824	57
187	827	52
188	831	48
189	836	44
190	839	39
191	844	35
192	848	30
193	851	26
194	855	21
195	859	17
196	862	13
197	865	8
198	868	4
199	872	0
